event_id_cnty,event_date,year,country,latitude,longitude
IRN6075,31 January 2020,2020,Iran,32.6525,51.6746
ALG8120,31 January 2020,2020,Algeria,36.75,5.0833
ALG8123,31 January 2020,2020,Algeria,36.38,3.9014
ALG8124,31 January 2020,2020,Algeria,36.7664,3.4772
ALG8126,31 January 2020,2020,Algeria,36.365,6.6147
TUN6106,31 January 2020,2020,Tunisia,36.2941,8.7666
TUN6107,31 January 2020,2020,Tunisia,34.7406,10.7603
ALG8127,31 January 2020,2020,Algeria,36.9172,3.9131
ALG8122,31 January 2020,2020,Algeria,36.7433,3.7173
ALG8128,31 January 2020,2020,Algeria,36.2675,2.75
ALG8121,31 January 2020,2020,Algeria,36.0732,4.7611
ALG8125,31 January 2020,2020,Algeria,36.1653,1.3345
ALG8130,31 January 2020,2020,Algeria,36.1914,5.4094
ALG8119,31 January 2020,2020,Algeria,36.9,7.7667
ALG8132,31 January 2020,2020,Algeria,36.8792,6.9067
ALG8129,31 January 2020,2020,Algeria,35.6911,-0.6417
TUN6108,31 January 2020,2020,Tunisia,35.8917,8.5528
ALG8118,31 January 2020,2020,Algeria,36.7525,3.042
JOR533,31 January 2020,2020,Jordan,32.3333,35.7528
JOR544,31 January 2020,2020,Jordan,32.5556,35.85
JOR534,31 January 2020,2020,Jordan,29.5267,35.0078
JOR538,31 January 2020,2020,Jordan,32.3429,36.208
JOR543,31 January 2020,2020,Jordan,32.4981,35.6852
JOR545,31 January 2020,2020,Jordan,32.5556,35.85
JOR546,31 January 2020,2020,Jordan,31.716,35.7939
JOR535,31 January 2020,2020,Jordan,32.0392,35.7272
JOR542,31 January 2020,2020,Jordan,32.0173,36.0327
IRQ23277,31 January 2020,2020,Iraq,31.4091,46.1727
IRQ23272,31 January 2020,2020,Iraq,31.3059,45.2799
IRQ23276,31 January 2020,2020,Iraq,30.956,46.9766
IRQ23275,31 January 2020,2020,Iraq,31.9626,44.6008
IRQ23278,31 January 2020,2020,Iraq,32.5056,45.8247
TUR10838,31 January 2020,2020,Turkey,41.0605,28.9872
TUR10832,31 January 2020,2020,Turkey,38.9094,40.5549
TUR10837,31 January 2020,2020,Turkey,41.0225,28.9408
TUR10834,31 January 2020,2020,Turkey,37.9136,40.2172
TUR10840,31 January 2020,2020,Turkey,38.4946,43.3832
LBN3741,31 January 2020,2020,Lebanon,34.4469,35.8678
LBN3735,31 January 2020,2020,Lebanon,34.5169,35.9683
LBN3740,31 January 2020,2020,Lebanon,33.9808,35.6178
LBN3736,31 January 2020,2020,Lebanon,34.5133,35.9597
IRQ23270,31 January 2020,2020,Iraq,32.5979,44.0165
IRQ23267,31 January 2020,2020,Iraq,32.4637,44.4196
LBN3737,31 January 2020,2020,Lebanon,33.8853,35.5196
LBN3738,31 January 2020,2020,Lebanon,33.8982,35.5074
ALG8131,31 January 2020,2020,Algeria,35.1939,-0.6414
LBN3742,31 January 2020,2020,Lebanon,34.417,35.8266
TUN6104,31 January 2020,2020,Tunisia,34.8,10.7833
IRN6076,31 January 2020,2020,Iran,35.681,51.4291
YEM47053,31 January 2020,2020,Yemen,16.9402,43.7639
BHR11723,31 January 2020,2020,Bahrain,26.1619,50.5164
BHR11724,31 January 2020,2020,Bahrain,26.2147,50.5069
JOR536,31 January 2020,2020,Jordan,32.0759,35.8465
JOR541,31 January 2020,2020,Jordan,30.8375,35.6044
IRQ23269,31 January 2020,2020,Iraq,30.533,47.7975
TUN6109,31 January 2020,2020,Tunisia,36.819,10.1658
YEM46979,31 January 2020,2020,Yemen,13.1822,45.477
YEM47047,31 January 2020,2020,Yemen,15.4701,43.5448
YEM47045,31 January 2020,2020,Yemen,16.4844,44.4294
JOR537,31 January 2020,2020,Jordan,31.1637,35.762
JOR539,31 January 2020,2020,Jordan,31.9552,35.945
JOR540,31 January 2020,2020,Jordan,31.9552,35.945
PSE6758,31 January 2020,2020,Palestine,31.5045,34.4743
PSE6759,31 January 2020,2020,Palestine,31.3069,34.3572
PSE6760,31 January 2020,2020,Palestine,31.3502,34.3081
PSE6764,31 January 2020,2020,Palestine,31.5294,35.0938
TUR10851,31 January 2020,2020,Turkey,39.9179,32.8627
YEM46980,31 January 2020,2020,Yemen,12.7394,44.8842
LBN3743,31 January 2020,2020,Lebanon,33.5408,35.3767
PSE6761,31 January 2020,2020,Palestine,31.5541,34.5016
PSE6773,31 January 2020,2020,Palestine,31.8996,35.2042
PSE22952,31 January 2020,2020,Palestine,31.5272,34.4835
ISR10988,31 January 2020,2020,Israel,32.936,35.27
YEM47044,31 January 2020,2020,Yemen,14.7978,42.9545
IRQ23271,31 January 2020,2020,Iraq,31.8356,47.1448
IRQ23273,31 January 2020,2020,Iraq,32.0259,44.3462
SYR74951,31 January 2020,2020,Syria,35.929,36.6353
YEM47050,31 January 2020,2020,Yemen,13.9791,44.1631
YEM47054,31 January 2020,2020,Yemen,13.6679,44.1668
ISR10985,31 January 2020,2020,Israel,32.5173,35.1535
BHR1918,31 January 2020,2020,Bahrain,26.2156,50.5192
YEM47049,31 January 2020,2020,Yemen,14.5427,44.4052
YEM47051,31 January 2020,2020,Yemen,14.1221,44.4214
ISR10987,31 January 2020,2020,Israel,32.9344,35.3168
YEM47055,31 January 2020,2020,Yemen,13.3726,44.3031
YEM47048,31 January 2020,2020,Yemen,15.3547,44.2067
PSE22975,31 January 2020,2020,Palestine,32.263,35.4376
TUR10839,31 January 2020,2020,Turkey,38.6735,29.4058
LBN3744,31 January 2020,2020,Lebanon,33.5167,35.3667
LBN3745,31 January 2020,2020,Lebanon,33.5599,35.3756
LBN6852,31 January 2020,2020,Lebanon,33.5599,35.3756
ISR10986,31 January 2020,2020,Israel,32.862,35.3637
LBN3739,31 January 2020,2020,Lebanon,33.8475,35.5033
ALG8133,31 January 2020,2020,Algeria,36.7118,4.0459
